mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_l1_ratio,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1.01737318039,0.0613425731659,0.822071658313,0.936355561752,0.001,0.95,"{'alpha': 0.001, 'l1_ratio': 0.95}",26,0.862165892676,0.933253290448,0.840071337148,0.939482183038,0.840715949342,0.941693635782,0.893347961651,0.933410084683,0.673856826911,0.933938614811,0.19945989838,0.014450006631,0.0765419481983,0.003533053918
1.3661564827,0.0145879268646,0.820168569687,0.936976217667,0.001,0.96,"{'alpha': 0.001, 'l1_ratio': 0.96}",29,0.860636110328,0.933843354924,0.838310196512,0.94015980778,0.838040186132,0.94251224028,0.893128358766,0.934033866704,0.67052589612,0.934331818645,0.188439484413,0.0112704771662,0.0774178828207,0.00363999716287
1.73126621246,0.0205868721008,0.817894736113,0.937585458984,0.001,0.97,"{'alpha': 0.001, 'l1_ratio': 0.97}",32,0.858964173022,0.93441368667,0.836112855185,0.940829220246,0.83471834113,0.94333717683,0.892807800039,0.934637850427,0.666666071339,0.934709360746,0.206465431573,0.0145330497037,0.078419713959,0.00375831670287
2.64318175316,0.0387059688568,0.81505734647,0.938168507157,0.001,0.98,"{'alpha': 0.001, 'l1_ratio': 0.98}",33,0.857111935698,0.93494855216,0.83325871403,0.941472772595,0.830306828516,0.944158888694,0.892335643321,0.93520355273,0.662065831625,0.935058769607,0.217823873864,0.0269335422204,0.0795918538362,0.00388927688934
4.8975039959,0.0351228237152,0.811217998521,0.938696514187,0.001,0.99,"{'alpha': 0.001, 'l1_ratio': 0.99}",36,0.855048027021,0.935418084164,0.829310576286,0.942053621459,0.823574415433,0.944955103608,0.891621760678,0.935701396223,0.656321686957,0.935354365483,0.260946144724,0.0159914371544,0.0810200081802,0.00403308576086
0.340222454071,0.0683581829071,0.839276576167,0.906831206912,0.012,0.95,"{'alpha': 0.012, 'l1_ratio': 0.95}",5,0.887117520848,0.902913031128,0.850597255197,0.908767304676,0.854749055754,0.906974821341,0.884820737359,0.903135301282,0.718894306077,0.912365576133,0.0802107414258,0.0337712263296,0.0619747019794,0.00356118413529
0.327942371368,0.0248912811279,0.839627567653,0.912570956948,0.012,0.96,"{'alpha': 0.012, 'l1_ratio': 0.96}",1,0.885890449668,0.908914166053,0.851423699698,0.914670835577,0.857457268377,0.913413482585,0.887464474257,0.909008767944,0.715701742767,0.916847532583,0.0623824626773,0.0109661382051,0.0635975578074,0.00314546495815
0.297545003891,0.0383132457733,0.83896793068,0.918624787325,0.012,0.97,"{'alpha': 0.012, 'l1_ratio': 0.97}",6,0.883314692473,0.915222927132,0.851611569774,0.920912682867,0.858936368641,0.920330312108,0.889942003491,0.915208529712,0.710838500396,0.921449484805,0.0544464095542,0.0254319564955,0.0656024307676,0.00280591038686
0.387354421616,0.0299221992493,0.836548220354,0.925070543166,0.012,0.98,"{'alpha': 0.012, 'l1_ratio': 0.98}",12,0.878654523436,0.92189624543,0.850627963577,0.927584779617,0.858010491696,0.927865948201,0.892124891264,0.921820717662,0.703129486809,0.926185024917,0.0488037399809,0.011816461932,0.0682580381575,0.00268385080569
0.565466356277,0.0308896064758,0.830361348106,0.932025082872,0.012,0.99,"{'alpha': 0.012, 'l1_ratio': 0.99}",21,0.870340316837,0.928987574679,0.846779055069,0.934851540303,0.851525451769,0.93624623361,0.893585430184,0.928975215879,0.689382015374,0.931064849887,0.0735378496123,0.0204403480596,0.0723306231291,0.00300856002931
