Feature,Coefficient
PoolQC_Ex,81107.8971027
RoofMatl_WdShngl,55377.6764368
Condition2_PosA,33857.1324264
Neighborhood_NoRidge,27886.5484069
Neighborhood_StoneBr,25182.9456153
Utilities_AllPub,22352.7619424
SaleType_Con,18892.2288004
ExterQual_Ex,18858.2909211
KitchenQual_Ex,18661.1280099
BsmtQual_Ex,16584.6883281
FireplaceQu_Ex,15676.4617678
Neighborhood_NridgHt,15597.3069212
Exterior2nd_ImStucc,13478.2375196
Neighborhood_Crawfor,12954.3289066
BsmtExposure_Gd,10801.1555152
SaleType_CWD,10639.8659423
RoofStyle_Shed,9576.03732837
Neighborhood_Veenker,9174.35023777
Exterior1st_BrkFace,9111.22893486
SaleCondition_Alloca,8844.01653411
GarageQual_Gd,8296.49418905
ExterCond_Ex,7846.60511486
Street_Pave,7641.88447072
LotConfig_CulDSac,6946.86582172
RoofMatl_WdShake,6648.49130057
LotShape_IR2,6417.33071016
Condition2_Norm,6326.68862754
FullBath,6225.82343981
BsmtFinType2_ALQ,6187.01182975
Heating_GasW,6093.41989483
GarageType_BuiltIn,5432.76996333
LandContour_HLS,5350.95333768
SaleType_New,5157.28941069
GarageCars,5112.64070886
BldgType_1Fam,5041.56712936
BsmtFinType1_GLQ,4972.65938198
Fireplaces,4729.17670401
SaleCondition_Partial,4506.83991681
Exterior1st_CemntBd,4476.237749
OverallQual,4326.02314551
Condition1_Norm,4240.7832138
Functional_Typ,4160.33515779
LandSlope_Mod,3952.13137418
Electrical_FuseP,3926.25301298
MasVnrType_Stone,3727.18336865
BsmtFinType2_GLQ,3589.42007493
Exterior2nd_CmentBd,3400.24083412
HalfBath,3395.68437525
MSZoning_FV,3383.61591879
RoofStyle_Mansard,3324.71968658
Exterior2nd_Stone,3289.36201658
BsmtFullBath,3276.85832529
GarageFinish_Fin,3247.36970497
Neighborhood_Somerst,3153.14566413
Condition2_Feedr,3065.2109371
FireplaceQu_Gd,3064.4947877
RoofStyle_Hip,2981.43303377
RoofStyle_Flat,2891.64546723
TotRmsAbvGrd,2682.03775052
HeatingQC_Ex,2664.68603299
Condition1_PosA,2585.61869528
Exterior2nd_BrkFace,2579.28836565
ExterQual_Gd,2382.22323064
Foundation_PConc,2369.50476618
MSZoning_RL,2342.35700835
FireplaceQu_TA,2256.74230736
BsmtCond_TA,2225.68756889
CentralAir_Y,2142.25025261
Neighborhood_NPkVill,2016.55130025
OverallCond,1985.58421241
GarageCond_Ex,1847.63350846
Neighborhood_BrkSide,1803.43350134
HouseStyle_2Story,1794.23232564
SaleType_ConLI,1773.98058094
Foundation_Stone,1681.23049798
PavedDrive_Y,1643.22734799
GarageCond_TA,1489.64408464
HouseStyle_1.5Unf,1333.30286818
BsmtFinType2_Unf,1172.18867849
BedroomAbvGr,1144.51613311
BsmtExposure_Av,1109.82784979
MSZoning_RH,1085.38765297
Alley_Pave,994.240489999
RoofStyle_Gambrel,988.131953773
LotShape_IR1,942.049541573
BsmtCond_Gd,916.200548464
Exterior2nd_VinylSd,906.571999241
LandContour_Lvl,770.034441414
SaleType_ConLD,762.589744866
