Feature,Coefficient
GrLivArea,6.4607%
LotArea,5.2819%
BsmtUnfSF,5.0594%
GarageArea,4.7487%
OverallQual,4.0474%
1stFlrSF,3.8259%
TotalBsmtSF,3.6832%
BsmtFinSF1,3.5753%
YearBuilt,3.0435%
YearRemodAdd,2.9483%
LotFrontage,2.9080%
MoSold,2.4543%
MasVnrArea,2.3837%
2ndFlrSF,2.3396%
EnclosedPorch,2.0457%
WoodDeckSF,2.0079%
OverallCond,1.9450%
OpenPorchSF,1.6235%
BedroomAbvGr,1.2953%
ScreenPorch,1.1894%
BsmtFinSF2,0.9060%
YrSold,0.8140%
BsmtFullBath,0.7765%
Neighborhood_StoneBr,0.7759%
SaleCondition_Family,0.7656%
Neighborhood_Crawfor,0.7645%
GarageCars,0.7116%
SaleCondition_Abnorml,0.7100%
Neighborhood_BrkSide,0.7022%
Neighborhood_Edwards,0.6968%
Exterior1st_BrkFace,0.6868%
TotRmsAbvGrd,0.6820%
MSZoning_C (all),0.5894%
BsmtFinType1_ALQ,0.5530%
PoolArea,0.5194%
FullBath,0.5175%
KitchenQual_Ex,0.5161%
Neighborhood_Somerst,0.5085%
BsmtExposure_Gd,0.4740%
Fireplaces,0.4676%
Condition1_Artery,0.4543%
BsmtFinType1_GLQ,0.4330%
3SsnPorch,0.4203%
SaleType_New,0.4120%
HouseStyle_1.5Fin,0.4114%
Condition1_Norm,0.4099%
Neighborhood_NridgHt,0.3942%
LowQualFinSF,0.3847%
MSSubClass,0.3843%
Fence_GdPrv,0.3801%
Condition2_PosN,0.3687%
HeatingQC_Gd,0.3501%
Functional_Typ,0.3450%
LotConfig_FR2,0.3316%
RoofMatl_WdShngl,0.3270%
HouseStyle_1Story,0.3119%
LotConfig_CulDSac,0.3108%
BsmtExposure_Av,0.2993%
Neighborhood_NAmes,0.2774%
HouseStyle_2.5Unf,0.2727%
FireplaceQu_Fa,0.2708%
LotConfig_FR3,0.2685%
Neighborhood_Mitchel,0.2579%
Condition1_PosN,0.2571%
SaleCondition_Partial,0.2517%
KitchenQual_Gd,0.2513%
BsmtQual_Gd,0.2504%
Exterior2nd_MetalSd,0.2498%
MSZoning_RH,0.2452%
Electrical_SBrkr,0.2435%
FireplaceQu_Po,0.2364%
LotConfig_Inside,0.2344%
Exterior2nd_Wd Sdng,0.2301%
Condition2_Norm,0.2298%
Neighborhood_NoRidge,0.2283%
ExterCond_Ex,0.2254%
LotShape_IR2,0.2243%
GarageType_Detchd,0.2226%
Functional_Sev,0.2165%
HouseStyle_SLvl,0.2136%
Electrical_FuseA,0.2069%
SaleType_WD,0.2041%
BsmtQual_Ex,0.2039%
SaleCondition_Alloca,0.2030%
Functional_Mod,0.1980%
Condition1_RRAe,0.1938%
Exterior2nd_AsbShng,0.1886%
MSZoning_FV,0.1881%
Neighborhood_Veenker,0.1807%
Neighborhood_CollgCr,0.1780%
GarageFinish_Unf,0.1771%
FireplaceQu_Gd,0.1768%
KitchenAbvGr,0.1760%
GarageType_CarPort,0.1741%
Fence_MnPrv,0.1714%
KitchenQual_TA,0.1666%
LandContour_HLS,0.1659%
GarageType_2Types,0.1645%
Neighborhood_MeadowV,0.1597%
BsmtExposure_No,0.1590%
GarageQual_Fa,0.1582%
BsmtQual_Fa,0.1568%
LandSlope_Mod,0.1567%
GarageType_Basment,0.1563%
Foundation_CBlock,0.1508%
Exterior2nd_Stucco,0.1473%
Neighborhood_Sawyer,0.1471%
Neighborhood_Timber,0.1396%
LandContour_Lvl,0.1390%
Functional_Maj2,0.1382%
BsmtCond_Gd,0.1378%
Exterior1st_CemntBd,0.1357%
PoolQC_Gd,0.1337%
Exterior2nd_VinylSd,0.1324%
BldgType_Duplex,0.1321%
Condition1_PosA,0.1296%
Exterior1st_VinylSd,0.1292%
Exterior1st_MetalSd,0.1270%
Foundation_BrkTil,0.1261%
GarageQual_Gd,0.1255%
GarageFinish_RFn,0.1240%
Foundation_PConc,0.1232%
RoofStyle_Shed,0.1209%
LotShape_Reg,0.1189%
BsmtFinType1_Rec,0.1188%
LandContour_Low,0.1173%
LandSlope_Gtl,0.1144%
Fence_MnWw,0.1130%
CentralAir_N,0.1126%
Neighborhood_ClearCr,0.1126%
Exterior1st_HdBoard,0.1084%
Fence_GdWo,0.1084%
RoofStyle_Hip,0.1079%
MasVnrType_Stone,0.1070%
MiscVal,0.1033%
Exterior1st_AsbShng,0.1023%
Exterior1st_Wd Sdng,0.1018%
Exterior2nd_Wd Shng,0.1017%
MasVnrType_BrkCmn,0.0983%
BsmtCond_Fa,0.0980%
Foundation_Slab,0.0971%
BsmtHalfBath,0.0961%
HalfBath,0.0951%
PavedDrive_N,0.0939%
MSZoning_RL,0.0897%
ExterCond_TA,0.0894%
Neighborhood_Gilbert,0.0889%
KitchenQual_Fa,0.0887%
RoofStyle_Gable,0.0876%
ExterQual_TA,0.0855%
SaleType_COD,0.0848%
Exterior1st_Plywood,0.0847%
LandContour_Bnk,0.0815%
Electrical_FuseF,0.0762%
BsmtCond_TA,0.0712%
RoofMatl_Tar&Grv,0.0687%
FireplaceQu_TA,0.0684%
Functional_Maj1,0.0679%
Neighborhood_SWISU,0.0653%
SaleCondition_Normal,0.0638%
LotShape_IR1,0.0623%
RoofStyle_Gambrel,0.0617%
BsmtFinType2_BLQ,0.0615%
MasVnrType_None,0.0604%
Neighborhood_OldTown,0.0600%
MSZoning_RM,0.0589%
PavedDrive_Y,0.0574%
Street_Grvl,0.0571%
Neighborhood_IDOTRR,0.0541%
SaleType_CWD,0.0539%
HeatingQC_TA,0.0533%
Foundation_Wood,0.0517%
BsmtExposure_Mn,0.0511%
GarageCond_Fa,0.0448%
ExterQual_Gd,0.0439%
Exterior2nd_CmentBd,0.0428%
GarageType_BuiltIn,0.0410%
LotConfig_Corner,0.0370%
GarageType_Attchd,0.0355%
SaleType_ConLD,0.0323%
HeatingQC_Ex,0.0323%
Exterior1st_Stucco,0.0322%
GarageQual_TA,0.0317%
Street_Pave,0.0296%
Functional_Min2,0.0291%
Exterior1st_BrkComm,0.0280%
Alley_Grvl,0.0272%
MiscFeature_Shed,0.0266%
BsmtFinType1_BLQ,0.0231%
Neighborhood_SawyerW,0.0230%
HouseStyle_2Story,0.0227%
Alley_Pave,0.0227%
ExterCond_Gd,0.0226%
Exterior2nd_Plywood,0.0217%
HeatingQC_Fa,0.0216%
ExterCond_Fa,0.0212%
SaleType_ConLI,0.0200%
Utilities_AllPub,0.0198%
BsmtFinType2_ALQ,0.0193%
RoofMatl_CompShg,0.0168%
CentralAir_Y,0.0156%
SaleType_ConLw,0.0155%
BsmtQual_TA,0.0153%
BldgType_1Fam,0.0139%
FireplaceQu_Ex,0.0138%
BsmtFinType2_Rec,0.0134%
Condition2_Artery,0.0117%
BsmtFinType1_Unf,0.0063%
MasVnrType_BrkFace,0.0000%
GarageQual_Po,0.0000%
Exterior1st_AsphShn,0.0000%
Exterior1st_CBlock,0.0000%
Exterior1st_WdShing,0.0000%
GarageFinish_Fin,0.0000%
Electrical_FuseP,0.0000%
SaleCondition_AdjLand,0.0000%
HouseStyle_1.5Unf,0.0000%
HouseStyle_SFoyer,0.0000%
SaleType_Con,0.0000%
SaleType_Oth,0.0000%
Foundation_Stone,0.0000%
ExterCond_Po,0.0000%
BsmtCond_Po,0.0000%
HeatingQC_Po,0.0000%
LotShape_IR3,0.0000%
MiscFeature_Gar2,0.0000%
MiscFeature_Othr,0.0000%
PavedDrive_P,0.0000%
LandSlope_Sev,0.0000%
Exterior2nd_AsphShn,0.0000%
Exterior2nd_Brk Cmn,0.0000%
Exterior2nd_BrkFace,0.0000%
Exterior2nd_CBlock,0.0000%
Exterior2nd_HdBoard,0.0000%
Exterior2nd_ImStucc,0.0000%
Exterior2nd_Stone,0.0000%
Heating_GasA,0.0000%
Heating_GasW,0.0000%
Heating_Grav,0.0000%
Heating_Wall,0.0000%
PoolQC_Ex,0.0000%
BsmtFinType2_GLQ,0.0000%
BsmtFinType2_LwQ,0.0000%
BsmtFinType2_Unf,0.0000%
BsmtFinType1_LwQ,0.0000%
Condition2_Feedr,0.0000%
Condition2_PosA,0.0000%
Condition1_Feedr,0.0000%
Condition1_RRAn,0.0000%
Condition1_RRNe,0.0000%
Condition1_RRNn,0.0000%
RoofMatl_WdShake,0.0000%
Neighborhood_Blmngtn,0.0000%
Neighborhood_Blueste,0.0000%
Neighborhood_BrDale,0.0000%
Neighborhood_NPkVill,0.0000%
Neighborhood_NWAmes,0.0000%
BldgType_2fmCon,0.0000%
BldgType_Twnhs,0.0000%
BldgType_TwnhsE,0.0000%
ExterQual_Ex,0.0000%
ExterQual_Fa,0.0000%
Functional_Min1,0.0000%
RoofStyle_Flat,0.0000%
RoofStyle_Mansard,0.0000%
GarageCond_Ex,0.0000%
GarageCond_Gd,0.0000%
GarageCond_Po,0.0000%
GarageCond_TA,0.0000%
