Feature,Importance
GrLivArea,10.1964%
OverallQual,8.9882%
LotArea,6.6039%
TotalBsmtSF,5.7498%
BsmtFinSF1,5.0740%
YearBuilt,4.2260%
OverallCond,3.9133%
1stFlrSF,3.4798%
YearRemodAdd,2.5907%
GarageArea,2.5771%
LotFrontage,2.2448%
Neighborhood_Crawfor,2.0220%
2ndFlrSF,1.9058%
BsmtUnfSF,1.7674%
Exterior1st_BrkFace,1.6424%
OpenPorchSF,1.5864%
Neighborhood_StoneBr,1.5241%
SaleType_New,1.4482%
BsmtExposure_Gd,1.4389%
ScreenPorch,1.3352%
WoodDeckSF,1.3029%
GarageCars,1.1927%
Fireplaces,1.1538%
MSZoning_C (all),1.1323%
Functional_Typ,1.0677%
PoolArea,1.0120%
SaleCondition_Abnorml,1.0070%
MoSold,0.9521%
RoofMatl_WdShngl,0.9473%
BsmtFullBath,0.9322%
BsmtFinSF2,0.8440%
BsmtFinType1_GLQ,0.7705%
Condition1_Norm,0.7409%
KitchenQual_Ex,0.6678%
BsmtQual_Gd,0.6264%
LotConfig_CulDSac,0.6067%
BsmtQual_Ex,0.5982%
YrSold,0.5864%
Neighborhood_BrkSide,0.5633%
HouseStyle_1.5Fin,0.5526%
MasVnrArea,0.5374%
MSZoning_FV,0.5286%
Condition1_PosA,0.4704%
SaleCondition_Family,0.4544%
LandContour_Bnk,0.4405%
ExterQual_TA,0.4276%
FullBath,0.4085%
HalfBath,0.4080%
Neighborhood_Somerst,0.4065%
Neighborhood_NridgHt,0.3474%
SaleCondition_Partial,0.3394%
Exterior1st_HdBoard,0.3195%
BsmtExposure_No,0.3187%
KitchenQual_TA,0.3089%
FireplaceQu_TA,0.2991%
PavedDrive_N,0.2605%
Neighborhood_Edwards,0.2453%
KitchenAbvGr,0.2360%
RoofStyle_Gable,0.2328%
KitchenQual_Gd,0.2300%
Exterior1st_VinylSd,0.2077%
TotRmsAbvGrd,0.2047%
Neighborhood_OldTown,0.2042%
MasVnrType_None,0.2033%
Exterior2nd_VinylSd,0.2025%
Functional_Sev,0.1978%
LowQualFinSF,0.1909%
Condition1_Artery,0.1860%
Exterior2nd_MetalSd,0.1701%
HouseStyle_SLvl,0.1700%
SaleCondition_Normal,0.1678%
GarageFinish_RFn,0.1613%
Exterior1st_Stucco,0.1575%
Exterior1st_MetalSd,0.1568%
Neighborhood_Mitchel,0.1560%
GarageType_Attchd,0.1479%
BsmtFinType2_ALQ,0.1447%
SaleType_WD,0.1394%
MSZoning_RL,0.1377%
BldgType_1Fam,0.1375%
Exterior2nd_AsbShng,0.1351%
HeatingQC_Ex,0.1278%
Condition2_Norm,0.1223%
Exterior2nd_Stucco,0.1214%
Condition1_RRAe,0.1061%
RoofStyle_Flat,0.1005%
GarageQual_TA,0.0961%
GarageType_CarPort,0.0838%
CentralAir_N,0.0836%
EnclosedPorch,0.0816%
GarageType_Detchd,0.0728%
BsmtExposure_Av,0.0648%
Neighborhood_NoRidge,0.0634%
BsmtFinType1_ALQ,0.0590%
FireplaceQu_Ex,0.0563%
MSZoning_RM,0.0547%
RoofStyle_Gambrel,0.0515%
RoofMatl_CompShg,0.0476%
BsmtQual_TA,0.0315%
SaleType_CWD,0.0294%
MasVnrType_BrkFace,0.0286%
FireplaceQu_Gd,0.0282%
CentralAir_Y,0.0263%
ExterCond_Gd,0.0258%
LandContour_Lvl,0.0180%
LotShape_IR3,0.0098%
ExterCond_TA,0.0096%
MSSubClass,0.0078%
GarageQual_Fa,0.0077%
HouseStyle_2Story,0.0070%
HeatingQC_Fa,0.0039%
BsmtFinType2_Unf,0.0026%
PoolQC_Ex,0.0010%
BsmtHalfBath,0.0000%
BedroomAbvGr,0.0000%
3SsnPorch,0.0000%
MiscVal,0.0000%
MasVnrType_BrkCmn,0.0000%
MasVnrType_Stone,0.0000%
LotConfig_Corner,0.0000%
LotConfig_FR2,0.0000%
LotConfig_FR3,0.0000%
LotConfig_Inside,0.0000%
GarageQual_Gd,0.0000%
GarageQual_Po,0.0000%
Exterior1st_AsbShng,0.0000%
Exterior1st_AsphShn,0.0000%
Exterior1st_BrkComm,0.0000%
Exterior1st_CBlock,0.0000%
Exterior1st_CemntBd,0.0000%
Exterior1st_Plywood,0.0000%
Exterior1st_Wd Sdng,0.0000%
Exterior1st_WdShing,0.0000%
GarageFinish_Fin,0.0000%
GarageFinish_Unf,0.0000%
Utilities_AllPub,0.0000%
Fence_GdPrv,0.0000%
Fence_GdWo,0.0000%
Fence_MnPrv,0.0000%
Fence_MnWw,0.0000%
Electrical_FuseA,0.0000%
Electrical_FuseF,0.0000%
Electrical_FuseP,0.0000%
Electrical_SBrkr,0.0000%
BsmtQual_Fa,0.0000%
SaleCondition_AdjLand,0.0000%
SaleCondition_Alloca,0.0000%
HouseStyle_1.5Unf,0.0000%
HouseStyle_1Story,0.0000%
HouseStyle_2.5Unf,0.0000%
HouseStyle_SFoyer,0.0000%
SaleType_COD,0.0000%
SaleType_Con,0.0000%
SaleType_ConLD,0.0000%
SaleType_ConLI,0.0000%
SaleType_ConLw,0.0000%
SaleType_Oth,0.0000%
Foundation_BrkTil,0.0000%
Foundation_CBlock,0.0000%
Foundation_PConc,0.0000%
Foundation_Slab,0.0000%
Foundation_Stone,0.0000%
Foundation_Wood,0.0000%
ExterCond_Ex,0.0000%
ExterCond_Fa,0.0000%
ExterCond_Po,0.0000%
BsmtCond_Fa,0.0000%
BsmtCond_Gd,0.0000%
BsmtCond_Po,0.0000%
BsmtCond_TA,0.0000%
HeatingQC_Gd,0.0000%
HeatingQC_Po,0.0000%
HeatingQC_TA,0.0000%
BsmtExposure_Mn,0.0000%
LotShape_IR1,0.0000%
LotShape_IR2,0.0000%
LotShape_Reg,0.0000%
MiscFeature_Gar2,0.0000%
MiscFeature_Othr,0.0000%
MiscFeature_Shed,0.0000%
PavedDrive_P,0.0000%
PavedDrive_Y,0.0000%
LandSlope_Gtl,0.0000%
LandSlope_Mod,0.0000%
LandSlope_Sev,0.0000%
Exterior2nd_AsphShn,0.0000%
Exterior2nd_Brk Cmn,0.0000%
Exterior2nd_BrkFace,0.0000%
Exterior2nd_CBlock,0.0000%
Exterior2nd_CmentBd,0.0000%
Exterior2nd_HdBoard,0.0000%
Exterior2nd_ImStucc,0.0000%
Exterior2nd_Plywood,0.0000%
Exterior2nd_Stone,0.0000%
Exterior2nd_Wd Sdng,0.0000%
Exterior2nd_Wd Shng,0.0000%
Heating_GasA,0.0000%
Heating_GasW,0.0000%
Heating_Grav,0.0000%
Heating_Wall,0.0000%
PoolQC_Gd,0.0000%
KitchenQual_Fa,0.0000%
BsmtFinType2_BLQ,0.0000%
BsmtFinType2_GLQ,0.0000%
BsmtFinType2_LwQ,0.0000%
BsmtFinType2_Rec,0.0000%
BsmtFinType1_BLQ,0.0000%
BsmtFinType1_LwQ,0.0000%
BsmtFinType1_Rec,0.0000%
BsmtFinType1_Unf,0.0000%
Condition2_Artery,0.0000%
Condition2_Feedr,0.0000%
Condition2_PosA,0.0000%
Condition2_PosN,0.0000%
Condition1_Feedr,0.0000%
Condition1_PosN,0.0000%
Condition1_RRAn,0.0000%
Condition1_RRNe,0.0000%
Condition1_RRNn,0.0000%
GarageType_2Types,0.0000%
GarageType_Basment,0.0000%
GarageType_BuiltIn,0.0000%
LandContour_HLS,0.0000%
LandContour_Low,0.0000%
RoofMatl_Tar&Grv,0.0000%
RoofMatl_WdShake,0.0000%
Neighborhood_Blmngtn,0.0000%
Neighborhood_Blueste,0.0000%
Neighborhood_BrDale,0.0000%
Neighborhood_ClearCr,0.0000%
Neighborhood_CollgCr,0.0000%
Neighborhood_Gilbert,0.0000%
Neighborhood_IDOTRR,0.0000%
Neighborhood_MeadowV,0.0000%
Neighborhood_NAmes,0.0000%
Neighborhood_NPkVill,0.0000%
Neighborhood_NWAmes,0.0000%
Neighborhood_SWISU,0.0000%
Neighborhood_Sawyer,0.0000%
Neighborhood_SawyerW,0.0000%
Neighborhood_Timber,0.0000%
Neighborhood_Veenker,0.0000%
BldgType_2fmCon,0.0000%
BldgType_Duplex,0.0000%
BldgType_Twnhs,0.0000%
BldgType_TwnhsE,0.0000%
ExterQual_Ex,0.0000%
ExterQual_Fa,0.0000%
ExterQual_Gd,0.0000%
Functional_Maj1,0.0000%
Functional_Maj2,0.0000%
Functional_Min1,0.0000%
Functional_Min2,0.0000%
Functional_Mod,0.0000%
Alley_Grvl,0.0000%
Alley_Pave,0.0000%
RoofStyle_Hip,0.0000%
RoofStyle_Mansard,0.0000%
RoofStyle_Shed,0.0000%
Street_Grvl,0.0000%
Street_Pave,0.0000%
MSZoning_RH,0.0000%
FireplaceQu_Fa,0.0000%
FireplaceQu_Po,0.0000%
GarageCond_Ex,0.0000%
GarageCond_Fa,0.0000%
GarageCond_Gd,0.0000%
GarageCond_Po,0.0000%
GarageCond_TA,0.0000%
