mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
432.339643192,0.281068754196,-693607708.674,-33091737.0404,0.6,0.6,"{'subsample': 0.6, 'colsample_bytree': 0.6}",5,-486311869.678,-36133383.6475,-1092968981.18,-32538174.7972,-822310876.147,-30607444.894,-463547997.429,-32917670.4832,-602898818.933,-33262011.38,22.202224278,0.0130047683256,236719694.821,1777022.52236
444.427590227,0.296142721176,-683627790.941,-28584184.7906,0.6,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.6}",2,-461242379.596,-29679716.43,-1094037424.71,-28558048.5986,-862674082.811,-26811874.3504,-439273940.952,-29707029.3288,-560911126.639,-28164255.2451,24.4463856078,0.0273107956422,254839987.836,1075088.61496
436.363719225,0.279035520554,-724345300.955,-27555832.5032,0.6,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.6}",11,-498268705.508,-30223267.8287,-1071891567.84,-25486531.0959,-853665868.68,-25405356.763,-530288367.448,-29223314.1844,-667611995.301,-27440692.6438,6.20250892569,0.0158461333948,214242668.618,1939872.04648
440.447709846,0.283950185776,-696995687.045,-28750920.4645,0.6,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.6}",7,-481303784.176,-28241678.5761,-952541451.07,-30862063.5589,-901069018.236,-27477715.0045,-534144765.996,-28257572.7349,-615919415.749,-28915572.448,20.5679511566,0.015567624164,193166427.327,1149591.82905
440.549616003,0.275635814667,-692005290.918,-30166637.3508,0.7,0.6,"{'subsample': 0.6, 'colsample_bytree': 0.7}",3,-458748397.363,-33519995.6296,-913830561.72,-29124989.6855,-849852146.739,-27166304.6236,-560717505.24,-30959473.859,-676877843.525,-30062422.9564,14.8793547164,0.0326525596491,170877840.215,2096258.02069
431.334726143,0.260002374649,-680309811.459,-28163276.1691,0.7,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.7}",1,-495933382.431,-29374905.893,-1004458625.99,-27877110.3747,-810567245.216,-24969697.6169,-476335668.214,-28886969.2146,-614254135.444,-29707697.7465,11.5078683421,0.0244336729606,200998967.181,1712182.87878
426.776396751,0.266310882568,-741078898.905,-27084619.0712,0.7,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.7}",15,-475465525.001,-27079024.7006,-1083342951.26,-26199091.5114,-781012814.913,-26912478.7245,-617712870.131,-28916033.8053,-747860333.218,-26316466.6139,8.96843392136,0.014594785541,202264692.168,975495.851469
429.590302229,0.284650421143,-769902554.658,-28398483.542,0.7,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.7}",16,-521251163.176,-27625469.5142,-1024950713.92,-31366583.208,-958214072.447,-26232028.5401,-622918351.366,-29257701.257,-722178472.387,-27510635.1907,9.35143521442,0.0164717086005,192987175.638,1767892.72108
435.593971395,0.257193660736,-693518853.175,-29111693.154,0.8,0.6,"{'subsample': 0.6, 'colsample_bytree': 0.8}",4,-449617683.819,-32886918.833,-970077943.929,-26289089.5639,-798655610.823,-25265417.8717,-581466306.229,-32356526.7706,-667776721.072,-28760512.731,4.02150785399,0.0124171517799,179022277.688,3087572.71623
429.970815182,0.249552822113,-706225507.472,-26781032.6561,0.8,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.8}",8,-451812888.772,-29850227.6905,-1021581888.62,-25322228.4454,-920659517.634,-25742564.5722,-530108057.91,-25423025.8198,-606965184.422,-27567116.7526,3.32880427841,0.0164377624675,224065767.207,1737158.28985
