,test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
0,195547.771875,8342.33842797,195699.43125,2049.72533546
1,193707.453125,8317.96265502,193861.3625,2015.71868042
2,191876.54375,8266.83569201,192024.771875,2000.16089481
3,190082.375,8197.37699334,190223.953125,1992.90803367
4,188319.7375,8139.87342575,188434.825,1984.17016929
5,186561.121875,8099.77747561,186669.559375,1970.73841465
6,184812.640625,8048.89805146,184918.94375,1942.04212005
7,183067.190625,7996.15418266,183173.065625,1941.7595707
8,181350.746875,7957.19233861,181453.259375,1920.14895361
9,179661.4375,7907.84383917,179746.571875,1911.50840819
10,177992.15625,7840.8801018,178057.33125,1889.00525341
11,176322.084375,7799.34547978,176386.703125,1884.12888017
12,174697.284375,7746.30802469,174753.496875,1877.24408182
13,173064.48125,7702.80143371,173107.6625,1852.0549103
14,171464.996875,7652.47336571,171487.396875,1837.47039683
15,169865.340625,7602.16994376,169880.86875,1829.56600674
16,168301.034375,7564.90346799,168288.4125,1815.17110343
17,166745.815625,7528.81097681,166722.321875,1803.86179765
18,165203.20625,7490.28106478,165167.275,1788.99364907
19,163668.56875,7466.32078159,163627.490625,1771.92801518
20,162160.615625,7419.06390462,162111.709375,1765.78945845
21,160675.33125,7376.18595998,160605.5,1743.51230464
22,159209.215625,7357.05671079,159118.859375,1718.83344522
23,157755.5,7316.68839757,157633.39375,1705.87901454
24,156299.196875,7266.7336759,156167.271875,1694.33379274
25,154875.475,7237.06075391,154723.928125,1688.66245045
26,153467.653125,7225.82798732,153291.353125,1662.04682585
27,152051.45,7206.47632996,151866.084375,1648.75366031
28,150649.75625,7181.91775085,150451.66875,1624.46809442
29,149289.915625,7145.71354552,149060.965625,1612.80171207
30,147938.83125,7106.04594538,147683.95,1592.47187915
31,146580.009375,7071.04655308,146316.334375,1575.63580788
32,145224.925,7046.85674945,144968.875,1554.4613719
33,143890.15,7028.12558464,143620.93125,1532.81467602
34,142596.4,6994.5488285,142296.034375,1510.13448026
35,141293.89375,6963.20735507,140978.209375,1486.68463842
36,140007.596875,6920.46604459,139676.90625,1465.17104587
37,138725.532813,6875.1468015,138387.953125,1453.06226669
38,137479.446875,6843.5912384,137113.41875,1442.258187
39,136242.21875,6827.10608643,135859.559375,1416.8681791
40,134985.948437,6791.6688715,134603.240625,1399.55372217
41,133760.004688,6760.0771074,133356.946875,1378.60576983
42,132538.482813,6710.17204247,132127.903125,1364.74314193
43,131342.2875,6664.96604336,130924.798438,1360.16953944
44,130191.340625,6629.90593373,129725.1375,1347.12547808
45,129038.310937,6595.13721465,128539.460937,1340.09234703
46,127884.507812,6569.59637695,127364.342188,1325.64024515
47,126729.05625,6543.46516891,126198.910937,1307.83622744
48,125600.229688,6522.91578507,125045.1,1296.34786824
49,124468.128125,6490.74681917,123901.771875,1284.2058212
50,123378.351562,6470.89399476,122766.051563,1270.3744513
51,122255.392187,6440.04575892,121641.354688,1260.34828991
52,121159.209375,6404.67794785,120520.828125,1252.70206271
53,120073.910937,6366.20232553,119426.753125,1248.49827655
54,118995.026562,6337.73905077,118337.29375,1248.46563377
55,117928.179687,6284.90296913,117255.935937,1240.96443294
56,116857.428125,6241.68461916,116174.809375,1237.45178242
57,115817.004688,6215.60658401,115119.395313,1232.15340717
58,114799.6,6191.86430307,114070.521875,1216.74605415
59,113796.332812,6159.26140476,113039.096875,1205.75977226
60,112808.892187,6148.87993093,112024.74375,1194.17399659
61,111820.746875,6134.92355284,111018.971875,1180.34228424
62,110837.321875,6099.37969502,110014.3375,1175.38106784
63,109865.701563,6065.68521799,109027.0625,1165.15840592
64,108904.042188,6021.59901694,108041.10625,1151.31274637
65,107936.523438,5981.39886655,107055.054688,1143.18265737
66,106991.609375,5956.25472434,106096.778125,1142.46430695
67,106059.489063,5927.00629229,105139.854688,1132.53768415
68,105135.792187,5898.81212873,104195.625,1127.86738404
69,104229.879687,5884.00841903,103261.44375,1121.65698067
70,103339.829688,5856.7655091,102338.61875,1114.83833642
71,102434.95625,5829.46877277,101416.7,1111.82182728
72,101545.170313,5800.45590154,100501.798437,1107.80131828
73,100665.890625,5787.72798458,99600.0249998,1089.12870618
74,99787.7796874,5766.00881074,98710.825,1083.87650902
75,98936.0843748,5734.91175181,97829.5937502,1074.62663109
76,98090.5218748,5712.22463434,96950.3156248,1067.57128857
77,97243.6125,5694.13498153,96086.6437498,1063.92826954
78,96412.671875,5682.01484499,95224.821875,1046.62331664
79,95587.4828124,5653.74718731,94373.8250002,1041.51274905
80,94764.234375,5625.46063518,93530.0140626,1036.96595946
81,93972.1546876,5613.11930216,92693.9203126,1028.15352049
82,93160.78125,5582.4764061,91862.2312502,1023.2653286
83,92377.38125,5581.80036556,91049.5937502,1016.25862681
84,91589.2171874,5563.2861582,90245.55625,1009.71292448
85,90825.1968748,5552.00711744,89451.0640626,999.640007337
86,90082.9093752,5519.08521635,88655.6921876,993.5410769
87,89309.9640624,5500.72895827,87870.7265624,991.294701676
88,88562.2859374,5480.26264334,87097.9843752,983.049116985
89,87822.0984376,5465.51789332,86324.8921872,978.219781932
90,87102.0703126,5445.2264515,85568.0578126,979.411167592
91,86391.5359376,5417.11600429,84815.809375,970.508920775
92,85678.1109374,5401.67611209,84072.9921876,956.428411137
93,84968.9249998,5380.73985243,83325.1906248,955.489168489
94,84268.2,5374.88888574,82593.265625,939.236683846
95,83557.1015628,5360.82693784,81864.7375,921.423053588
96,82877.3203124,5342.34367357,81146.7921872,914.830561524
97,82206.9187502,5312.43893185,80439.7421874,914.369419469
98,81533.3812498,5310.83021288,79740.9343752,911.296470945
99,80869.040625,5301.61506401,79039.7625,903.941037168
100,80223.4343748,5288.36184162,78354.8312498,896.260827785
101,79571.4156252,5278.41386372,77670.5,886.666786518
102,78928.65,5256.75232376,76996.7703122,880.352869643
103,78292.0734376,5246.86338788,76323.8953128,865.857159211
104,77657.1859372,5238.5666915,75669.7515624,859.415064682
105,77033.4218752,5221.86189439,75016.6375,856.836290005
106,76416.9890628,5211.48297414,74373.0625,855.797088831
107,75786.8765624,5187.59072558,73719.290625,848.972322306
108,75182.5890628,5166.60739326,73082.6765624,840.583360091
109,74575.4296876,5144.73974233,72452.5203128,837.215085758
110,73993.1062498,5120.51912167,71830.9734376,830.405271466
111,73389.4406248,5092.42310935,71208.2562498,827.198088253
112,72817.9132814,5083.17250891,70596.1828126,815.902923161
113,72245.836719,5074.11308298,69988.0234374,810.61464609
114,71669.9421874,5075.85750086,69385.7093752,797.104461637
115,71108.9679688,5060.72021773,68789.9984374,790.077900262
116,70556.5453124,5055.49071923,68199.63125,781.618804324
117,70000.3414064,5016.75064824,67613.1171876,783.317627805
118,69452.3148434,5005.70015541,67033.6375,776.382178497
119,68933.046875,5003.10580495,66467.4718752,763.800624392
120,68402.1601562,4982.06976848,65914.7492186,759.260056539
121,67882.5851562,4963.22553531,65355.2125002,756.842528858
122,67359.9882812,4941.05366511,64802.9703124,749.853201822
123,66825.4632814,4912.08491017,64247.6984374,748.457702592
124,66319.7609374,4904.34106601,63696.1460938,749.243926003
125,65807.3695312,4871.61128357,63153.7601562,755.493638215
126,65298.653906,4839.63128723,62617.2468746,748.751149722
127,64809.7195316,4812.08160808,62084.4601562,753.341183533
128,64328.721094,4796.63666748,61560.235156,748.083084676
129,63854.249219,4785.21325446,61048.4882812,742.289194946
130,63370.5406252,4765.82944571,60532.5945312,739.268890364
131,62902.499219,4754.1709508,60023.5375,736.866575828
132,62432.990625,4745.70447943,59521.60625,730.884167103
133,61965.9625,4737.6017195,59025.5617188,724.009647846
134,61510.325,4729.24504234,58539.3546876,722.745265718
135,61054.009375,4720.68677008,58055.8078126,721.828434515
136,60609.4835936,4707.95449283,57574.5718752,711.418050478
137,60172.4523438,4696.91977616,57096.9523436,704.307052492
138,59737.5992186,4678.55644769,56629.3679686,698.891772411
139,59319.7335936,4668.28467384,56161.9710936,696.181419221
140,58901.390625,4667.26931163,55706.7382814,688.371952862
141,58474.8382812,4657.81120711,55240.5945314,678.980595145
142,58048.2296876,4645.06489532,54782.3453126,679.583949977
143,57640.2773438,4626.8824517,54332.0828122,674.845786768
144,57229.6671874,4612.1019023,53890.7109376,672.792520794
145,56839.5960938,4602.04982799,53451.5375,665.038521029
146,56436.1601564,4597.53214964,53014.6546872,656.07118571
147,56036.4726562,4593.08393957,52580.9734374,653.534639425
148,55648.4992188,4583.45778109,52153.0023438,649.091087275
149,55287.4062502,4571.98622484,51735.4984376,644.805862077
150,54912.5640626,4550.77043598,51320.7609376,641.535978436
151,54536.5703124,4546.05370073,50906.9929688,635.397631581
152,54160.9085936,4538.25807988,50493.103125,633.348241628
153,53788.0898436,4527.3503527,50092.328906,627.13308281
154,53441.853906,4519.56996353,49697.2031248,624.420804106
155,53086.8164064,4506.23519842,49293.9210936,619.089408949
156,52738.346875,4496.28842188,48898.8421876,614.402291493
157,52382.3492188,4491.07295756,48506.8171876,609.890162087
158,52039.9984372,4476.45914905,48123.147656,612.543896007
159,51721.1421876,4466.07615655,47748.280469,613.215576968
160,51391.4445314,4451.0715327,47367.3976564,613.491097518
161,51062.2320312,4428.82860882,46992.8820314,613.150748398
162,50738.5492186,4423.41049572,46626.5750002,610.109956826
163,50404.0546874,4403.90706162,46252.934375,605.749443016
164,50081.2203126,4391.00349992,45897.9867186,603.648317665
165,49772.6210936,4383.11507522,45543.1632812,596.991612132
166,49463.721094,4369.48991041,45190.5578124,589.870227836
167,49147.3921874,4368.56393485,44832.5195312,584.11807811
168,48849.46875,4365.46902114,44480.1578124,575.374317609
