,test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
0,195548.0375,8334.34170933,195701.79375,2048.8600957
1,193688.284375,8273.30205184,193847.85,2034.98289014
2,191863.21875,8221.40080133,192023.2625,2018.25453066
3,190059.15625,8180.75627487,190223.834375,2007.9103111
4,188266.84375,8122.43812073,188422.278125,1989.81042081
5,186485.946875,8069.38415961,186642.609375,1973.9675087
6,184732.6,8028.09615114,184884.69375,1960.9808969
7,182993.853125,7956.86291031,183140.6125,1946.07472957
8,181276.1625,7903.75855534,181423.9375,1934.3029228
9,179586.421875,7859.78283151,179722.60625,1921.55422586
10,177913.271875,7823.87618346,178034.015625,1897.71993643
11,176221.4125,7764.56867029,176354.11875,1883.31023674
12,174562.940625,7711.7985345,174693.859375,1868.34649017
13,172896.646875,7665.06901593,173048.825,1857.21249385
14,171284.203125,7617.03779757,171424.140625,1841.55308274
15,169674.365625,7573.07201875,169814.16875,1831.55029954
16,168103.925,7525.37037239,168225.609375,1813.28275105
17,166549.228125,7486.64962364,166660.915625,1803.81186123
18,165000.7375,7425.42729034,165098.64375,1789.00149769
19,163454.421875,7392.42874253,163548.134375,1771.94602384
20,161951.909375,7353.12039897,162019.953125,1749.21119318
21,160459.94375,7293.1941369,160506.790625,1736.84247956
22,158972.0875,7260.09058115,159010.56875,1724.05716664
23,157497.034375,7221.22256114,157519.690625,1704.83557261
24,156035.340625,7182.97241569,156049.053125,1691.45044774
25,154594.671875,7130.62141942,154590.20625,1672.79509239
26,153179.49375,7098.79705546,153153.284375,1657.98004141
27,151775.85,7045.19209568,151726.83125,1644.11681617
28,150376.871875,7008.41088139,150323.215625,1625.44663764
29,149011.5625,6983.5166203,148928.496875,1606.32305705
30,147643.30625,6942.30368884,147544.403125,1592.46641305
31,146271.946875,6901.01787448,146170.240625,1572.0460647
32,144921.7625,6867.04599932,144820.484375,1561.71023663
33,143577.6875,6816.21523686,143472.2875,1548.16522255
34,142265.5875,6777.9923933,142141.5,1538.64425688
35,140966.075,6739.03873899,140818.165625,1522.30751713
36,139675.109375,6711.96537622,139513.15625,1510.16891481
37,138398.145313,6662.64520803,138226.409375,1505.89787146
38,137129.423438,6625.77592296,136954.184375,1496.33636109
39,135871.18125,6598.01823516,135684.7,1478.28263527
40,134639.557812,6554.48246009,134431.375,1473.65773404
41,133423.175,6552.06976684,133192.83125,1453.55146492
42,132221.8375,6520.14926733,131964.410938,1438.31662815
43,131024.289063,6483.69662702,130748.948438,1417.12875585
44,129828.504688,6450.11879996,129546.921875,1410.49832843
45,128651.207812,6404.13419988,128353.396875,1400.797567
46,127483.945312,6379.21266393,127170.3375,1384.12956429
47,126334.8,6352.73399711,126004.115625,1367.34319075
48,125216.4375,6324.27213593,124850.96875,1353.08988216
49,124088.810937,6289.20633655,123702.423438,1343.19650747
50,122980.932812,6265.39720734,122567.8125,1328.88914191
51,121888.376563,6246.1755758,121449.271875,1314.65111137
52,120777.954687,6224.85143724,120326.996875,1300.20444415
