,test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
0,178876.253125,8022.43448817,178880.596875,1840.72890325
1,162348.2625,7640.84323892,162201.45625,1539.44391478
2,147382.978125,7137.12896486,147017.646875,1447.02909873
3,134001.740625,6644.59206723,133465.20625,1409.89629357
4,122027.707812,6086.62436121,121220.954687,1438.17111711
5,111311.417187,5984.14900671,110254.304688,1306.54612694
6,101500.520313,5667.10328052,100341.392188,1152.0596414
7,92746.1562502,5305.48928274,91285.584375,1168.95077257
8,85002.0703128,5056.79007772,83200.3812498,1044.24560441
9,77970.0984374,4896.34177162,75893.1078128,991.790808088
10,71767.7898436,4671.19317221,69359.85,936.406392437
11,66410.5406252,4594.10928061,63437.2007812,903.560393615
12,61560.2781252,4435.84914077,58220.2851564,936.362351579
13,57224.8374998,4267.1567975,53415.228125,804.143249879
14,53503.2718752,4114.97844123,49114.230469,760.180086449
15,50053.1140626,3992.32132595,45302.7499998,760.509648248
16,47141.396875,3965.54250196,41866.4203126,735.884767445
17,44641.9343752,3926.25311928,38808.4320314,693.334624467
18,42364.325,3745.03667754,36037.7015624,632.325259461
19,40401.2460938,3650.16254298,33512.6882814,599.795762585
20,38597.3851562,3646.46804834,31307.8234376,604.847697813
21,37132.6292968,3680.1331136,29290.8261716,563.051598723
22,35902.6265626,3714.12480194,27489.8199218,517.45158171
23,34860.6921876,3770.69345109,25876.220703,477.493829807
24,33882.8992188,3794.88971855,24485.8089846,412.050326026
25,33035.4890624,3877.78191075,23249.7089842,384.781113243
26,32319.4515626,3933.83936295,22109.040625,351.279155395
27,31733.925,3937.62036938,21064.4660156,335.118515162
28,31116.4691406,4056.628872,20132.5976564,312.49376693
29,30670.5367188,4077.34735789,19381.0230468,290.121740067
30,30437.1160156,4093.13012062,18664.0132814,301.711226872
31,30101.339844,4211.07583711,18017.0558594,304.620339088
32,29807.2167968,4268.88836308,17464.74375,291.267304436
33,29575.8863282,4293.12436966,16930.2246094,272.326495461
34,29297.8285156,4333.23463779,16490.8031248,243.985231116
35,29131.5644532,4412.03929929,16057.123633,271.264786348
36,28986.8390624,4500.1191673,15650.3972654,260.15489877
37,28831.7683594,4549.76296457,15308.2027342,267.735942875
38,28667.9675782,4591.72993353,14985.4970702,245.295721393
39,28586.8976564,4667.48742373,14721.3486328,246.468370507
40,28452.005078,4733.36744479,14453.2958984,215.29112119
41,28361.4996094,4772.74573001,14203.7847656,223.837938791
42,28296.8324218,4797.40057838,13967.5009764,226.003494324
43,28239.2734376,4850.43738329,13779.0482422,223.322053552
44,28152.5164062,4908.83364501,13550.766211,220.980471095
45,28034.282031,4947.87008979,13353.0904296,202.114257741
46,27940.4097658,4997.1798242,13190.0156252,215.606020459
47,27884.515625,5029.54069764,13029.1421874,208.391174402
48,27864.273047,5079.35674595,12890.6658202,226.613577828
49,27843.0695312,5131.48516954,12741.351367,233.216604916
50,27803.1535158,5141.99817311,12613.5158202,238.02083504
51,27810.2320314,5170.00784172,12489.469336,243.556772368
52,27757.4007812,5256.17362931,12362.533789,253.93127426
53,27714.423828,5321.21469435,12246.3396486,250.348253689
54,27674.1339844,5344.72825669,12130.0765626,251.309768779
55,27637.0328126,5351.64156929,12030.5976562,233.607103817
56,27622.884375,5373.03032158,11930.2919922,241.801115189
57,27613.0945312,5401.90293321,11840.8226562,247.114097005
58,27601.6113284,5433.66128276,11760.4603516,261.66130973
59,27617.016797,5433.79474884,11665.7597656,288.600101869
60,27588.3261718,5445.54709696,11580.7960938,290.2250462
61,27575.3218748,5405.97414051,11486.215625,274.523197494
62,27542.9,5395.83695754,11393.3374998,283.83675761
63,27521.2863282,5405.93742495,11303.9074216,264.909487114
64,27484.8609376,5420.29683808,11224.766992,257.076287825
65,27465.8382812,5407.64274725,11139.4917968,252.427062492
66,27460.8499998,5389.5402359,11074.5550782,250.606051662
67,27456.939453,5392.75524545,10998.0722656,237.996396389
68,27450.3414064,5413.56004617,10914.2177736,236.837616553
69,27427.2425784,5423.96770827,10826.9058592,248.207007511
70,27411.8734374,5420.23351829,10773.8158204,247.379823922
71,27389.6222656,5420.2069103,10708.6054686,242.007191402
