Feature,Importance
OverallQual,58.49%
GrLivArea,10.41%
2ndFlrSF,4.02%
TotalBsmtSF,3.56%
BsmtFinSF1,2.91%
GarageCars,2.47%
1stFlrSF,2.15%
LotArea,1.27%
GarageArea,1.26%
YearBuilt,1.08%
TotRmsAbvGrd,0.93%
YearRemodAdd,0.75%
FullBath,0.61%
WoodDeckSF,0.57%
MasVnrArea,0.54%
OpenPorchSF,0.52%
BsmtUnfSF,0.49%
OverallCond,0.47%
MoSold,0.36%
Fireplaces,0.34%
BsmtQual_Ex,0.33%
BsmtQual_Gd,0.22%
GarageType_Attchd,0.21%
GarageType_Detchd,0.21%
CentralAir_Y,0.19%
CentralAir_N,0.18%
BedroomAbvGr,0.18%
KitchenQual_Gd,0.17%
MSZoning_RM,0.16%
YrSold,0.15%
ScreenPorch,0.13%
LotShape_Reg,0.13%
HalfBath,0.13%
KitchenQual_Ex,0.12%
KitchenAbvGr,0.11%
BsmtExposure_No,0.10%
MSSubClass,0.10%
Neighborhood_Edwards,0.08%
ExterQual_Ex,0.08%
ExterQual_Gd,0.08%
KitchenQual_TA,0.08%
BsmtFullBath,0.08%
BsmtExposure_Gd,0.07%
SaleType_WD,0.07%
EnclosedPorch,0.06%
LandContour_Lvl,0.06%
BsmtFinType1_GLQ,0.06%
Neighborhood_Crawfor,0.06%
SaleCondition_Partial,0.06%
GarageFinish_Unf,0.06%
Exterior2nd_VinylSd,0.06%
GarageType_BuiltIn,0.06%
Exterior2nd_HdBoard,0.06%
Neighborhood_NoRidge,0.06%
LotConfig_Corner,0.06%
ExterQual_TA,0.06%
GarageFinish_Fin,0.05%
FireplaceQu_Gd,0.05%
GarageFinish_RFn,0.05%
Condition2_Norm,0.05%
Exterior1st_VinylSd,0.05%
Neighborhood_StoneBr,0.05%
MSZoning_RL,0.05%
SaleType_New,0.05%
LandContour_Bnk,0.05%
SaleCondition_Family,0.05%
MasVnrType_Stone,0.04%
SaleCondition_Normal,0.04%
Condition1_Norm,0.04%
Condition2_PosN,0.04%
MasVnrType_BrkFace,0.04%
LotConfig_CulDSac,0.04%
HeatingQC_Ex,0.04%
RoofStyle_Hip,0.04%
3SsnPorch,0.04%
LandSlope_Gtl,0.04%
BsmtFinType1_ALQ,0.04%
Foundation_PConc,0.04%
RoofStyle_Gable,0.04%
LotConfig_Inside,0.04%
SaleCondition_Abnorml,0.04%
BsmtQual_TA,0.04%
LandContour_HLS,0.04%
Neighborhood_OldTown,0.03%
Exterior1st_BrkFace,0.03%
BsmtFinSF2,0.03%
BsmtHalfBath,0.03%
BsmtExposure_Av,0.03%
Functional_Typ,0.03%
GarageQual_TA,0.03%
Neighborhood_NridgHt,0.03%
LotShape_IR1,0.03%
Neighborhood_CollgCr,0.03%
MSZoning_C (all),0.03%
BsmtCond_Fa,0.03%
FireplaceQu_Ex,0.03%
GarageCond_TA,0.03%
Condition1_PosN,0.03%
HouseStyle_2Story,0.03%
HouseStyle_1.5Fin,0.03%
HeatingQC_TA,0.02%
