Feature,Importance
OverallQual,58.357252%
GrLivArea,10.964413%
2ndFlrSF,4.154195%
TotalBsmtSF,3.557993%
BsmtFinSF1,2.625182%
GarageCars,2.124970%
1stFlrSF,1.983118%
GarageArea,1.327650%
LotArea,1.292175%
YearBuilt,1.012829%
TotRmsAbvGrd,0.995824%
YearRemodAdd,0.676357%
LotFrontage,0.643162%
FullBath,0.500222%
OpenPorchSF,0.489311%
BsmtUnfSF,0.485844%
MasVnrArea,0.439655%
WoodDeckSF,0.436517%
OverallCond,0.386906%
MoSold,0.384224%
Fireplaces,0.343419%
BsmtQual_Ex,0.332438%
BsmtQual_Gd,0.240551%
GarageType_Detchd,0.237125%
BedroomAbvGr,0.231768%
YrSold,0.180719%
KitchenQual_Ex,0.163391%
CentralAir_N,0.163308%
ExterQual_Ex,0.162294%
MSZoning_RM,0.152067%
GarageType_Attchd,0.137072%
CentralAir_Y,0.136330%
KitchenQual_Gd,0.132145%
MSSubClass,0.126234%
LotShape_Reg,0.124794%
ScreenPorch,0.123281%
KitchenAbvGr,0.119833%
BsmtExposure_Gd,0.111985%
Neighborhood_Edwards,0.100771%
BsmtFullBath,0.090304%
Neighborhood_NoRidge,0.085752%
GarageFinish_Unf,0.080422%
HalfBath,0.080289%
ExterQual_Gd,0.079479%
KitchenQual_TA,0.075634%
LotShape_IR1,0.073335%
Exterior2nd_VinylSd,0.071921%
GarageFinish_Fin,0.066054%
SaleCondition_Partial,0.065149%
LotShape_IR2,0.063338%
BsmtExposure_No,0.062646%
EnclosedPorch,0.060598%
BsmtFinType1_GLQ,0.056357%
Neighborhood_Crawfor,0.055375%
LotConfig_CulDSac,0.055338%
Neighborhood_NridgHt,0.055270%
Exterior2nd_HdBoard,0.054548%
FireplaceQu_Gd,0.054132%
MasVnrType_Stone,0.053849%
Neighborhood_StoneBr,0.051752%
LandContour_Lvl,0.050573%
Exterior1st_VinylSd,0.049003%
ExterQual_TA,0.048749%
HouseStyle_2Story,0.046273%
LandSlope_Gtl,0.045440%
SaleType_New,0.044021%
BsmtFinSF2,0.042916%
GarageFinish_RFn,0.042704%
SaleCondition_Normal,0.042405%
RoofStyle_Gable,0.039633%
GarageQual_TA,0.038709%
Functional_Typ,0.038170%
HeatingQC_Ex,0.037786%
RoofStyle_Hip,0.036772%
MasVnrType_BrkFace,0.035771%
GarageType_BuiltIn,0.035426%
Neighborhood_NAmes,0.035370%
LotConfig_Inside,0.034598%
PoolArea,0.032557%
Condition1_Norm,0.032042%
LotConfig_Corner,0.031939%
SaleType_WD,0.031883%
3SsnPorch,0.031285%
Condition2_Norm,0.030667%
HouseStyle_1.5Fin,0.030148%
GarageCond_TA,0.028489%
Neighborhood_CollgCr,0.027793%
LandSlope_Mod,0.027717%
SaleCondition_Abnorml,0.027659%
MSZoning_RL,0.027195%
Neighborhood_OldTown,0.027062%
Exterior1st_BrkFace,0.027003%
HeatingQC_TA,0.026848%
BsmtQual_TA,0.026743%
RoofMatl_CompShg,0.025256%
Condition1_PosN,0.025065%
MSZoning_C (all),0.024359%
Foundation_PConc,0.024087%
Exterior1st_HdBoard,0.023958%
SaleCondition_Family,0.023618%
LandContour_Bnk,0.023162%
Condition1_Feedr,0.022443%
BsmtFinType2_ALQ,0.022130%
Neighborhood_Somerst,0.021824%
BldgType_1Fam,0.021778%
HeatingQC_Gd,0.021769%
PavedDrive_Y,0.021633%
BsmtExposure_Av,0.021474%
BsmtFinType1_ALQ,0.021070%
BsmtFinType1_Unf,0.020290%
FireplaceQu_TA,0.019831%
Exterior1st_Wd Sdng,0.019519%
LandContour_HLS,0.019383%
FireplaceQu_Ex,0.018871%
Exterior2nd_MetalSd,0.018168%
Foundation_BrkTil,0.018131%
BsmtCond_TA,0.017065%
Neighborhood_Timber,0.016734%
BsmtCond_Gd,0.016699%
PoolQC_Gd,0.016527%
Foundation_CBlock,0.016441%
